"","tree_id","tree_code","fp_tree_id","fp_species_name","fp_species_id","fp_genus_name","fp_genus_id","fp_family_name","fp_family_apg_id","sub_plot_code","plot_code","csp_site","csp_tree_code","csp_species","csp_family","csp_full_name","csp_taxon_info","dbh_latest","census_date_latest"
"7831",7260,"T7",636689,"Hedyosmum cuatrecazanum",286804,"Hedyosmum",8621,"Chloranthaceae",226,"1","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7832",9414,"T7",1062378,"Alchornea latifolia",18200,"Alchornea",10383,"Euphorbiaceae",415,"1","SPD-02",NA,NA,NA,NA,NA,NA,166,"2009.033"
"7833",10303,"T7",55273,"Pourouma guianensis",501230,"Pourouma",8321,"Urticaceae",378,"1","TAM-05",NA,NA,NA,NA,NA,NA,190,"2011.652"
"7834",11192,"T7",56084,"Indet indet",655221,"Indet",31330033,"Annonaceae",407,"1","TAM-06",NA,NA,NA,NA,NA,NA,0,"2000.549"
"7835",12114,"T7",635198,"Clusia alata",124433,"Clusia",8717,"Clusiaceae",350,"1","TRU-04","TRU-04","T7","alata","Clusiaceae","Clusia alata","Planch. & Triana",260,"2011.575"
"7836",13173,"T7",632991,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"1","WAY-01",NA,NA,NA,NA,NA,NA,112,"2011.896"
"7837",70,"T70",1105452,"Miconia setulosa",411405,"Miconia",16100,"Melastomataceae",414,"2","ACJ-01",NA,NA,NA,NA,NA,NA,196,"2014.2"
"7838",929,"T70",634340,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"4","ESP-01",NA,NA,NA,NA,NA,NA,110,"2011.915"
"7839",3822,"T70",1106907,"Senefeldera inclinata",552637,"Senefeldera",10888,"Euphorbiaceae",415,"25","PAN-02",NA,NA,NA,NA,NA,NA,156,"2013.241"
"7840",6640,"T70",1107668,"Sloanea guianensis",559338,"Sloanea",10077,"Elaeocarpaceae",303,"4","PAN-03",NA,NA,NA,NA,NA,NA,209,"2014.219"
"7841",7323,"T70",636752,"Pseudolmedia rigida",505752,"Pseudolmedia",16601,"Moraceae",364,"3","SPD-01",NA,NA,NA,NA,NA,NA,113,"2011.808"
"7842",9476,"T70",1062440,"Pseudolmedia rigida",505752,"Pseudolmedia",16601,"Moraceae",364,"3","SPD-02",NA,NA,NA,NA,NA,NA,102,"2009.033"
"7843",10661,"T70",55335,"Bixa arborea",70734,"Bixa",6364,"Bixaceae",222,"4","TAM-05","TAM-05","T70","excelsa","Bixaceae","Bixa excelsa","Gleason & Krukoff",255,"2011.652"
"7844",11590,"T70",56152,"Astrocaryum gratum",55662,"Astrocaryum",2507,"Arecaceae",413,"6","TAM-06",NA,NA,NA,NA,NA,NA,144,"2011.6725"
"7845",12177,"T70",635261,"Clethra indet",636995,"Clethra",8686,"Clethraceae",147,"2","TRU-04",NA,NA,NA,NA,NA,NA,133,"2011.575"
"7846",13236,"T70",633054,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"2","WAY-01",NA,NA,NA,NA,NA,NA,122,"2011.896"
"7847",700,"T700",1106082,"Symplocos baehnii",579814,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01",NA,NA,NA,NA,NA,NA,180,"2014.2"
"7848",1558,"T700",634969,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"25","ESP-01",NA,NA,NA,NA,NA,NA,250,"2011.915"
"7849",3405,"T700",1106490,"Cybianthus timanae",147742,"Cybianthus",16719,"Primulaceae",288,"9","PAN-02",NA,NA,NA,NA,NA,NA,0,"2013.241"
"7850",7954,"T700",637383,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7851",10093,"T700",1063067,"Miconia astroplocama",410501,"Miconia",16100,"Melastomataceae",414,"21","SPD-02",NA,NA,NA,NA,NA,NA,114,"2009.033"
"7852",12807,"T700",635891,"Plinia indet",645233,"Plinia",16924,"Myrtaceae",408,"21","TRU-04",NA,NA,NA,NA,NA,NA,0,"2007.433"
"7853",13865,"T700",633683,"Weinmannia reticulata",622077,"Weinmannia",9498,"Cunoniaceae",347,"15","WAY-01",NA,NA,NA,NA,NA,NA,190,"2011.896"
"7854",701,"T701",1106083,"Polylepis pauta",495819,"Polylepis",23133,"Rosaceae",397,"20","ACJ-01","ACJ-01","T701","pauta","Rosaceae","Polylepis pauta","Hieron.",561,"2014.2"
"7855",1559,"T701",634970,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"25","ESP-01",NA,NA,NA,NA,NA,NA,105,"2011.915"
"7856",3406,"T701",1106491,"Sloanea sinemariensis",559424,"Sloanea",10077,"Elaeocarpaceae",303,"9","PAN-02",NA,NA,NA,NA,NA,NA,139,"2013.241"
"7857",7955,"T701",637384,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"19.r","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7858",10094,"T701",1063068,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"21","SPD-02",NA,NA,NA,NA,NA,NA,133,"2009.033"
"7859",12808,"T701",635892,"Freziera parva",246833,"Freziera",26059,"Pentaphylacaceae",306,"21","TRU-04",NA,NA,NA,NA,NA,NA,0,"2007.433"
"7860",13866,"T701",633684,"Schefflera allocotantha",541008,"Schefflera",2453,"Araliaceae",368,"15","WAY-01",NA,NA,NA,NA,NA,NA,119,"2011.896"
"7861",702,"T702",1106084,"Symplocos baehnii",579814,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01",NA,NA,NA,NA,NA,NA,109,"2014.2"
"7862",1560,"T702",634971,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"25","ESP-01",NA,NA,NA,NA,NA,NA,433,"2011.915"
"7863",3407,"T702",1106492,"Jacaranda glabra",328825,"Jacaranda",6222,"Bignoniaceae",403,"9","PAN-02",NA,NA,NA,NA,NA,NA,114,"2013.241"
"7864",7956,"T702",637385,"Alzatea verticillata",23472,"Alzatea",638,"Alzateaceae",5,"19.r","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7865",10095,"T702",1063069,"Cecropia angustifolia",103372,"Cecropia",8315,"Urticaceae",378,"21","SPD-02",NA,NA,NA,NA,NA,NA,0,"2008.697"
"7866",12809,"T702",635893,"Cyathea delgadii",146888,"Cyathea",22031,"Cyatheaceae",470,"21","TRU-04",NA,NA,NA,NA,NA,NA,283,"2011.575"
"7867",13867,"T702",633685,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"15","WAY-01",NA,NA,NA,NA,NA,NA,160,"2011.896"
"7868",13142,"T702.2.A",636226,"Cyathea delgadii",146888,"Cyathea",22031,"Cyatheaceae",470,"21","TRU-04",NA,NA,NA,NA,NA,NA,156,"2011.575"
"7869",13143,"T702.2.B",636227,"Hedyosmum goudotianum",286815,"Hedyosmum",8621,"Chloranthaceae",226,"21","TRU-04",NA,NA,NA,NA,NA,NA,126,"2011.575"
"7870",703,"T703",1106085,"Symplocos baehnii",579814,"Symplocos",26001,"Symplocaceae",124,"20","ACJ-01",NA,NA,NA,NA,NA,NA,212,"2014.2"
"7871",1561,"T703",634972,"Weinmannia bangii",621938,"Weinmannia",9498,"Cunoniaceae",347,"25","ESP-01",NA,NA,NA,NA,NA,NA,189,"2011.915"
"7872",3408,"T703",1106493,"Senefeldera inclinata",552637,"Senefeldera",10888,"Euphorbiaceae",415,"9","PAN-02","PAN-02","T703","inclinata","Euphorbiaceae","Senefeldera inclinata","Mull. Arg.",253,"2013.241"
"7873",7957,"T703",637386,"Meriania indet",644407,"Meriania",16098,"Melastomataceae",414,"19","SPD-01",NA,NA,NA,NA,NA,NA,0,"2011"
"7874",10096,"T703",1063070,"Guettarda crispiflora",275680,"Guettarda",23554,"Rubiaceae",455,"21","SPD-02",NA,NA,NA,NA,NA,NA,270,"2009.033"
"7875",12810,"T703",635894,"Miconia indet",644409,"Miconia",16100,"Melastomataceae",414,"22","TRU-04",NA,NA,NA,NA,NA,NA,146,"2011.575"
"7876",13868,"T703",633686,"Weinmannia crassifolia",621965,"Weinmannia",9498,"Cunoniaceae",347,"15","WAY-01",NA,NA,NA,NA,NA,NA,129,"2011.896"
"7877",13046,"T703A",636130,"Cyathea delgadii",146888,"Cyathea",22031,"Cyatheaceae",470,"22","TRU-04",NA,NA,NA,NA,NA,NA,272,"2011.575"
"7878",704,"T704",1106086,"Clethra indet",636995,"Clethra",8686,"Clethraceae",147,"20","ACJ-01",NA,NA,NA,NA,NA,NA,179,"2014.2"
"7879",1562,"T704",634973,"Cyathea indet",650340,"Cyathea",22031,"Cyatheaceae",470,"25","ESP-01",NA,NA,NA,NA,NA,NA,106,"2011.915"
