"","plot_i","sp_i","level_used","sample_size"
"130","SPD-02","Tachigali setifera","a","15"
"131","TAM-05","Inga heterophylla","d","23"
"132","TAM-06","Brosimum alicastrum","a","4"
"133","SPD-01","Erythroxylum squamatum",NA,"0"
"134","SPD-01","Sloanea fragrans","d","42"
"135","SPD-01","Oreopanax capitatus","d","19"
"136","WAY-01","Hesperomeles ferruginea","a","6"
"137","SPD-01","Meliosma indet","a","6"
"138","PAN-03","Joosia umbellifera","e","27"
"139","TAM-05","Iriartea deltoidea",NA,"0"
"140","WAY-01","Hedyosmum maximum","a","3"
"141","TAM-06","Celtis iguanaea","c","6"
"142","SPD-01","Rudgea foveolata","e","16"
"143","SPD-01","Guarea kunthiana","b","9"
"144","WAY-01","Persea corymbosa","d","36"
"145","SPD-01","Ficus indet","c","15"
"146","SPD-01","Casearia indet","h","1"
"147","TAM-06","Capparis amplissima","h","3"
"148","ACJ-01","Weinmannia cochensis","d","124"
"149","PAN-02","Alchornea glandulosa","d","70"
"150","PAN-03","Tachigali setifera","a","15"
"151","SPD-02","Miconia indet","b","30"
"152","TAM-05","Amaioua guianensis","f","76"
"153","TAM-06","Terminalia amazonia","h","5"
"154","TRU-04","Cinchona macrocalyx","c","21"
"155","ACJ-01","Pentacalia indet","d","2"
"156","ESP-01","Miconia indet","b","30"
"157","PAN-03","Schizocalyx obovatus ","a","9"
"158","SPD-01","Plinia indet","i","2"
"159","TAM-05","Alchornea triplinervia","d","70"
"160","TAM-06","Iriartea deltoidea",NA,"0"
"161","TRU-04","Clusia alata","a","28"
"162","SPD-01","Isertia laevis","e","16"
"163","SPD-01","Eugenia florida","g","1"
"164","SPD-01","Symplocos arechea","d","76"
"165","SPD-01","Meriania indet","a","9"
"166","ESP-01","Nectandra indet","d","9"
"167","PAN-03","Inga indet","b","12"
"168","SPD-02","Licaria cannella","e","27"
"169","TAM-05","Pseudolmedia macrophylla","c","21"
"170","SPD-01","Guatteria duodecima","c","17"
"171","SPD-01","Mollinedia simulans","d","18"
"172","SPD-02","Virola sebifera","a","15"
"173","TAM-05","Iryanthera juruensis","f","15"
"174","SPD-01","Guatteria indet","c","17"
"175","SPD-01","Byrsonima indet",NA,"0"
"176","SPD-01","Ormosia indet","e","12"
"177","ACJ-01","Weinmannia fagaroides","d","124"
"178","PAN-03","Caryocar amygdaliforme","a","21"
"179","SPD-01","Pourouma mollis","b","21"
"180","SPD-02","Nectandra indet","c","9"
"181","SPD-01","Endlicheria griseo-sericea","d","18"
"182","ACJ-01","Miconia indet","b","30"
"183","ESP-01","Aniba indet","f","151"
"184","PAN-03","Protium sagotianum","d","12"
"185","SPD-01","Dendropanax indet","a","10"
"186","SPD-02","Inga nobilis","d","23"
"187","TAM-06","Sloanea obtusifolia","d","42"
"188","SPD-01","Tapirira obtusa","b","6"
"189","SPD-01","Roupala monosperma","h","1"
"190","SPD-02","Neea parviflora","h","2"
"191","TAM-06","Scheelea cephalotes",NA,"0"
"192","SPD-01","Trichilia indet","f","9"
"193","SPD-01","Myrsine youngii","d","83"
"194","SPD-01","Weinmannia pinnata","d","124"
"195","ESP-01","Myrsine coriacea","a","18"
"196","SPD-01","Elaeagia mariae","c","16"
"197","SPD-02","Cecropia angustifolia","a","6"
"198","SPD-01","Clarisia indet","d","5"
"199","TAM-05","Inga tenuistipula","d","23"
"200","SPD-01","Ficus americana","a","15"
"201","PAN-03","Hevea guianensis","a","9"
"202","SPD-01","Phyllanthus attenuatus","f","11"
"203","PAN-03","Tapirira guianensis","b","16"
"204","SPD-01","Piper obliquum","h","6"
"205","TAM-06","Ficus schultesii","d","21"
"206","SPD-01","Viburnum hallii","h","2"
"207","TAM-06","Inga indet","b","12"
"208","SPD-01","Trattinnickia burserifolia","e","12"
"209","ESP-01","Clusia elliptica","a","11"
"210","SPD-02","Mollinedia lanceolata","a","18"
"211","WAY-01","Weinmannia auriculata","c","37"
"212","TAM-06","Theobroma speciosum","f","23"
"213","TAM-05","Miconia punctata","d","88"
"214","ACJ-01","Hedyosmum indet","a","30"
"215","PAN-02","Pourouma mollis","a","9"
"216","SPD-01","Pouteria torta","a","18"
"217","SPD-02","Ceiba samauma","e","11"
